ID,Latitude,Longitud,AreaKey,TotPop90,PctRural,PctEld,PctFB,PctPov,PctBlack,PctBach
1,34.88129,-83.40143,13241,11648,100,17.18,1.13,13.6,0.35,11.6
2,34.91864,-83.73908,13281,6754,100,22.96,1.36,14,0,11.4
3,34.78193,-84.74823,13213,26147,89,7.69,0.5,11.3,0.26,5.5
4,34.86415,-84.31928,13111,15992,100,17.3,0.58,17.2,0.03,7.8
5,34.90222,-85.13643,13047,42464,43.6,10.73,0.39,12,0.91,8.1
6,34.80497,-84.96616,13313,72462,70,9.48,2.55,11.1,4.06,12
7,34.83436,-83.99088,13291,11993,100,17.55,0.88,18.3,0.1,10.1
8,34.7309,-85.2963,13295,58340,44.8,12.8,0.42,12.8,3.73,8.4
9,34.85462,-85.50471,13083,13147,96.5,10.35,0.75,14.6,0.35,8
10,34.68824,-84.45786,13123,13368,100,12.91,0.45,16.6,0.26,8.6
11,34.63045,-83.52933,13137,27621,88.5,12.31,2.92,11.6,5.42,12
12,34.64537,-83.75252,13311,13006,100,13.81,1.18,12.5,2.59,13.6
13,34.5745,-84.00225,13187,14573,78.6,9.29,0.76,15.3,1.41,11.1
14,34.55581,-83.29396,13257,23257,64.5,14.88,1.09,17,11.81,13.1
15,34.50423,-84.87158,13129,35072,79.7,10.09,0.64,11.1,3.78,9.2
16,34.44001,-84.17119,13085,9429,100,8.89,0.59,12.8,0.29,8.6
17,34.47663,-85.34577,13055,22242,77.4,14.22,0.11,14.6,8.61,5.9
18,34.2633,-85.21503,13115,81251,36.1,13.84,1.09,13.6,13.56,13.7
19,34.46452,-84.46498,13227,14432,100,12.44,0.2,12.8,1.48,9
20,34.37329,-83.22767,13119,16650,87.2,14.59,0.44,16.5,9.89,9.5
21,34.31584,-83.82089,13139,95428,81.1,10.25,4.6,10.6,8.48,15.4
22,34.35335,-82.95916,13147,19712,73.8,15.08,0.32,14.2,20.41,9.1
23,34.3527,-83.50054,13011,10308,100,11.37,0.34,15.1,3.49,6.4
24,34.2384,-84.83918,13015,55911,75.2,9.66,0.82,10.7,9.21,9
25,34.24453,-84.4743,13057,90204,57.8,6.71,1.57,6.1,1.77,18.4
26,34.22378,-84.12672,13117,44083,93.7,8.38,1.17,6.8,0,15.6
27,34.13332,-83.56274,13157,30005,78,11.23,0.62,14.1,9.58,9
28,34.115,-82.83977,13105,18949,70,13.78,0.84,19.7,29.99,8
29,34.12847,-83.20978,13195,21050,100,10.98,0.81,15.7,8.32,9.7
31,33.7894,-84.46716,13121,648951,4.2,9.63,4.13,18.4,49.92,31.6
32,33.95895,-84.0251,13135,352910,13.6,4.51,5.05,4,5.11,29.6
33,33.99347,-83.71181,13013,29721,64.6,10.63,0.92,14.7,11.44,9.2
34,33.99916,-85.18202,13233,33815,66.5,13.72,0.95,16.3,14.3,6.8
35,33.92253,-84.86584,13223,41611,93.7,7.12,0.66,8.8,3.94,7.6
36,33.94176,-84.57701,13067,447745,5.8,6.08,4.12,5.6,9.84,33
37,33.88098,-83.08201,13221,9763,100,11.37,0.62,16.2,24.74,12.8
38,33.95197,-83.36602,13059,87594,17.6,8.04,4.47,27,26.23,37.5
39,33.78664,-82.74436,13317,10597,59.6,16.64,0.43,22.6,45.94,10.4
40,33.79269,-82.45213,13181,7442,100,14.27,0.26,17.8,38.19,8.2
41,33.77095,-84.22701,13089,545837,2.5,8.13,6.69,9.9,42.23,32.7
42,33.83733,-83.43728,13219,17618,95.2,8.67,0.98,7.9,7.37,28.4
43,33.78311,-83.73768,13297,38586,61.2,10.64,0.65,13.2,18.37,9.4
44,33.79101,-85.209,13143,21966,67.8,12.62,0.69,14.4,6.47,7.5
45,33.59285,-83.49307,13211,12883,73,12.69,0.83,15,34.74,11
46,33.58276,-85.07903,13045,71422,68.5,9.66,0.85,14.4,15.46,12
47,33.7003,-84.76729,13097,71120,26.7,6.68,1.34,6.6,7.63,12
48,33.65017,-84.02657,13247,54091,59.2,7.64,2.01,6.2,8.03,18.1
49,33.58125,-83.16757,13133,11793,75.7,13.49,0.5,25.1,49.89,8.8
50,33.55318,-83.84438,13217,41808,76,10.14,0.78,14.4,22.35,9.5
51,33.56681,-82.88324,13265,1915,100,19.22,0.78,31.9,61.36,5.6
52,33.54858,-82.26123,13073,66031,30.6,5.5,3.49,6.6,10.93,23.9
53,33.47773,-82.4819,13189,20119,65.9,11.16,0.22,21.6,36.38,10.4
54,33.54255,-84.35703,13063,182052,4.4,5.55,4.23,8.6,23.82,14.7
55,33.4561,-84.1554,13151,58741,76,7.77,0.98,6.1,10.24,10.7
56,33.4082,-82.67637,13301,6078,100,14.81,0.49,32.6,60.23,4.2
58,33.41496,-84.49289,13113,62415,53.9,6.99,2.85,2.6,5.13,25.8
59,33.35938,-82.074,13245,189719,9.9,9.35,3.01,18.2,41.96,17.3
61,33.3163,-83.68734,13159,8453,100,13.12,0.99,17.4,34.8,10.8
62,33.35261,-84.7626,13077,53853,76.1,9.85,0.8,11.4,22.59,13.3
63,33.32057,-83.37302,13237,14137,66.5,11.61,1.85,16.4,32.79,11.7
64,33.26958,-83.00084,13141,8908,100,12.39,0.27,30.1,79.64,6.8
65,33.28834,-83.95713,13035,15326,73.4,10.41,0.72,15.6,35.48,7.2
66,33.29966,-85.12921,13149,8628,100,12.03,0.35,19.1,13.38,5.7
67,33.26204,-84.28494,13255,54457,53.6,11.12,0.77,15.6,29.08,11.1
69,33.23108,-82.60694,13125,2357,100,13.28,0.42,16.8,12.69,5.3
70,33.05398,-82.4153,13163,17408,100,13.36,0.4,31.3,55.92,6.2
71,33.05837,-81.99939,13033,20579,72.3,10.6,0.43,30.3,52.19,9.6
72,32.96775,-82.79487,13303,19112,67.1,12.35,0.2,21.6,51.86,9.8
73,33.04341,-84.68501,13199,22411,82.3,12.79,0.31,22.4,44.62,6.7
75,33.03331,-85.02819,13285,55536,44,12.93,0.99,16.3,30.03,13.6
76,33.0909,-84.38639,13231,10224,100,11.94,0.82,13.4,20.04,9.3
77,33.073,-84.13522,13171,13038,63.6,12.62,0.34,16.3,34.03,10
78,33.01281,-83.91312,13207,17113,75.1,9.6,0.93,13.8,31.78,12.9
79,33.07193,-83.25085,13009,39530,42.7,8.64,1.43,17.5,42.39,13.3
80,33.02648,-83.5661,13169,20739,81.9,8.54,0.52,10.8,25.6,12
81,32.74871,-81.61441,13251,13842,79.3,14.02,0.61,22.9,44.69,8.6
82,32.79853,-83.16759,13319,10228,100,11.36,0.29,15.3,41.99,8.8
83,32.87929,-84.29827,13293,26300,65.3,14.81,0.57,14.7,27.78,9
84,32.78866,-81.96042,13165,8247,53.8,13.1,0.21,27.8,41.51,7.7
85,32.80451,-83.69915,13021,149967,16.1,12.23,1.06,19.2,41.68,17
86,32.66598,-83.42609,13289,9806,100,10.43,0.22,26,45.93,4.8
87,32.70756,-84.52831,13263,6524,97.9,13.5,0.34,24.9,62.34,7.1
88,32.74074,-84.90607,13145,17788,95.8,13,1.11,13.7,25.49,13.6
89,32.70982,-83.97968,13079,8991,100,9.21,1.01,14,30.66,5.7
90,32.58694,-82.30417,13107,20546,64.2,13.32,0.41,25.7,32.58,9.1
91,32.70222,-82.65617,13167,8329,100,13.86,0.29,22.2,33.89,4.9
92,32.55433,-84.25144,13269,7642,100,14.43,0.48,29.5,43.21,7.1
93,32.46285,-82.92951,13175,39988,52.9,12.39,0.49,20.5,33.32,12
94,32.56372,-83.82774,13225,21189,61.3,10.03,1.62,24,47.53,15.2
95,32.45833,-83.66835,13153,89208,20.9,7.3,2.25,10.6,21.8,16
97,32.39071,-81.74391,13031,43125,63.2,9.56,1.16,27.5,25.95,19.9
98,32.51071,-84.87497,13215,179278,3.2,10.31,3.4,18.6,37.95,16.6
99,32.37038,-81.34348,13103,25687,89.1,7.87,0.69,12.7,14.03,7.6
100,32.43552,-83.33121,13023,10430,57.9,12.6,0.64,18.3,22.36,10.3
101,32.35272,-84.52615,13197,5590,100,12.02,0.43,28.2,41.32,4.6
102,32.40134,-82.07498,13043,7744,52.1,13.8,0.96,24.1,30.94,9.9
103,32.34755,-84.7878,13053,16934,13.7,1.46,6.74,10.4,30.94,20.2
105,32.35407,-84.03763,13193,13114,65.6,12.05,0.98,29.2,58.72,10.1
107,32.40461,-82.5651,13283,5994,53.3,14.98,0.13,27.1,33.1,6.3
109,32.17328,-83.16624,13091,17607,70.7,13.13,0.34,21.8,27.64,8
110,32.26283,-84.32046,13249,3588,100,13.38,0.25,19.9,34.09,8
111,32.23708,-83.4736,13235,8108,56.5,14.15,1.76,24.3,32.46,10.7
112,32.16757,-82.52981,13209,7163,98.6,12.26,1.44,24.5,28.27,10.1
113,32.12311,-82.33542,13279,24072,35.7,11.65,0.9,24,23.38,11.4
114,32.04266,-82.06064,13267,17722,79.3,12.5,2.05,21.9,29.19,6.5
115,32.12226,-82.71677,13309,4903,100,15.07,0.35,30.3,30.06,8.6
116,32.16092,-83.79837,13093,9901,72.6,13.76,0.5,32.9,48.98,9.5
117,32.15807,-81.89087,13109,8724,100,13,0.48,25.4,33.88,8.6
118,32.02037,-81.43763,13029,15438,80.6,7.22,0.45,13.2,14.85,11.8
119,31.9684,-81.08524,13051,216935,5.1,12.07,2.05,17.2,38.02,18.6
120,32.07813,-84.83704,13259,5654,100,16.29,0.16,31.4,63.46,8
121,32.04852,-84.55046,13307,2263,100,14.49,0.09,22.5,50.2,5.5
122,32.04234,-84.19643,13261,30228,45.4,11.45,0.59,24.8,46.53,15.9
124,31.97034,-83.43574,13315,7008,100,15.71,0.09,28.6,31.76,7.6
125,31.93476,-82.94098,13271,11000,72.6,16.25,0.04,27.3,34.45,8.6
127,31.8,-81.46192,13179,52745,32.9,3.38,3.85,17.2,39.15,13.4
128,31.9254,-83.77159,13081,20011,48.4,12.47,0.3,29,40.66,10
129,31.75881,-81.74702,13183,6202,100,8.53,2.02,23.7,21.75,5.2
130,31.85898,-85.01192,13239,2209,100,17.07,0.95,33,49.93,7.3
131,31.80159,-82.63599,13161,12032,65.1,10.53,0.64,18.8,15.36,8.3
132,31.77555,-84.43589,13273,10653,50.3,14.18,0.25,29.1,59.9,9.2
133,31.75339,-82.28558,13001,15744,75.6,11.43,0.64,19.9,20.76,8.2
134,31.76276,-84.75803,13243,8023,53.5,16.08,0.86,35.9,58.17,6
136,31.77659,-84.13731,13177,16250,78.2,6.5,0.7,12.6,19.22,13.7
137,31.71623,-83.6274,13287,8703,44.5,13.56,0.35,31.3,40.66,7.2
138,31.7594,-83.21976,13017,16245,47,12.81,0.33,22,31.33,7.6
139,31.55269,-83.84816,13321,19745,71.1,11.5,0.59,26.2,30.71,6.3
140,31.54758,-81.91326,13305,22356,59.9,10.88,0.5,21.2,19.45,9.6
143,31.54693,-82.85147,13069,29592,64.6,10.52,1.49,22.5,25.46,11.1
144,31.62109,-84.99295,13061,3364,100,16.62,0.45,35.7,60.76,11.2
145,31.60234,-83.27429,13155,8649,63.4,14.45,0.15,27.2,30.5,8.3
146,31.55678,-82.45115,13005,9566,61.7,11.11,0.27,24.1,15.42,6.6
147,31.47999,-81.37239,13191,8634,100,12.8,0.27,22.3,43.34,8.7
148,31.53832,-84.21578,13095,96311,10,9.66,0.94,24.4,50.15,17
149,31.52793,-84.61891,13037,5013,100,15.94,0.1,31.8,58.89,10.1
150,31.45664,-83.52609,13277,34998,51.1,10.69,2.77,22.9,26.68,14
151,31.35624,-82.21519,13229,13328,74.4,11.07,0.7,21.3,11.69,6.3
152,31.33042,-84.9092,13099,11854,52.8,14.86,0.24,31.4,44.09,9.4
153,31.27424,-83.23179,13019,14153,66.2,11.98,1.19,19.3,11.62,7.5
154,31.05156,-82.42208,13299,35471,54.2,13.89,0.62,21.1,25.88,10.4
155,31.33084,-84.45401,13007,3615,100,13.17,0.11,24.8,51.67,9.4
156,31.21695,-81.49423,13127,62496,20.3,13.2,1.37,14.3,25.57,19.9
157,31.22383,-84.19464,13205,20275,56.2,12.31,0.58,28.7,47.91,7.8
158,31.29486,-82.87474,13003,6213,100,11.77,1.58,26,26.86,6.4
159,31.19702,-81.98323,13025,11077,100,9.02,0.33,18.2,4.58,5.8
160,31.15478,-83.43077,13075,13456,62,13.14,1.89,22.4,29.94,6.5
161,31.1865,-83.76833,13071,36645,59.4,13.22,3.01,22.8,24.16,10
162,31.1645,-84.72942,13201,6280,100,15.16,0.41,22.1,27.48,8.2
163,31.03705,-83.06327,13173,5531,100,10.83,0.85,25.9,26.58,5.4
164,30.91758,-82.70284,13065,6160,58.6,10.52,0.11,26.4,27.29,6.7
165,30.91895,-81.63783,13039,30167,47.1,4.78,2.14,11.5,20.19,13.5
166,30.87876,-84.57963,13087,25511,58,13.02,1.54,23.3,39.47,11.7
167,30.87507,-84.23294,13131,20279,55.4,13.84,0.74,22.3,31.5,7.7
168,30.86482,-83.91853,13275,38986,55.2,13.3,0.72,22.6,37.93,13.4
169,30.84653,-83.57726,13027,15398,65.6,13.68,1.76,25.9,41.47,9.1
170,30.7789,-82.13993,13049,8496,100,9.66,0.42,18.3,27.05,6.4
171,30.93315,-84.86705,13253,9010,69.4,14.2,5.69,29.1,32.74,7.8
172,30.83468,-83.26782,13185,75981,47.6,8.99,1.53,19.9,31.88,16.3
173,30.7167,-82.89896,13101,2334,100,9.77,1.63,14.6,11.48,4.7
